global_step,avg_episode_returns,avg_episode_length,SPS
37939200,-4.36,73.23,5712.77
37990400,-4.14,72.21,5712.86
38041600,-3.86,70.84,5712.94
38092800,-4.48,71.43,5712.99
38144000,-4.10,71.97,5713.07
38195200,-4.09,71.85,5713.15
38246400,-4.05,71.92,5713.24
38297600,-3.88,70.90,5713.60
38348800,-3.87,69.84,5713.39
38400000,-4.31,71.38,5713.44
38451200,-3.91,70.52,5713.53
38502400,-4.28,73.97,5713.59
38553600,-3.13,68.04,5713.66
38604800,-4.09,73.04,5713.74
38656000,-3.80,70.44,5713.83
38707200,-3.65,70.03,5713.91
38758400,-4.20,72.37,5713.99
38809600,-4.00,70.34,5714.08
38860800,-3.71,68.94,5714.16
38912000,-4.01,69.43,5714.24
38963200,-3.77,69.65,5714.32
39014400,-4.23,72.63,5714.40
39065600,-4.26,70.76,5714.47
39116800,-4.05,69.48,5714.56
39168000,-3.60,69.40,5714.63
39219200,-3.62,70.05,5714.70
39270400,-4.15,70.86,5714.78
39321600,-4.06,71.04,5714.87
39372800,-3.80,69.40,5714.94
39424000,-4.26,72.48,5715.01
39475200,-3.88,69.08,5715.09
39526400,-3.62,70.48,5715.15
39577600,-3.65,68.39,5715.19
